date,game_id,week,season,home,away,p_home,p_elo,model,result,selected,model_spread,model_total,cal,pick_side,pick_team,pick_prob
2024-08-24,401635525,1,2024,Georgia Tech,Florida State,0.3000396012136511,0.2252279236542214,v1-backfill,3.0,,,,,,,
2024-08-25,401643696,1,2024,Nevada,SMU,0.0421276211387249,0.1029375642491223,v1-backfill,-5.0,,,,,,,
2024-08-30,401628448,1,2024,Minnesota,North Carolina,0.508136218974245,0.5019301704973016,v1-backfill,-2.0,,,,,,,
2024-08-30,401640998,1,2024,Jacksonville State,Coastal Carolina,0.6045546330394515,0.4778746767830094,v1-backfill,-28.0,,,,,,,
2024-08-30,401628328,1,2024,Oklahoma,Temple,0.9792281447507784,0.9305915558021632,v1-backfill,48.0,,,,,,,
2024-08-30,401628453,1,2024,Michigan State,Florida Atlantic,0.745736889588729,0.6773904045629836,v1-backfill,6.0,,,,,,,
2024-08-31,401628461,1,2024,Wisconsin,Western Michigan,0.9174713086729904,0.7816649717720487,v1-backfill,14.0,,,,,,,
2024-08-31,401634300,1,2024,Stanford,TCU,0.2164266926871309,0.2635384629890943,v1-backfill,-7.0,,,,,,,
2024-08-31,401628323,1,2024,Georgia,Clemson,0.8054483894703103,0.7420822298112254,v1-backfill,31.0,,,,,,,
2024-08-31,401628333,1,2024,Vanderbilt,Virginia Tech,0.162869101617627,0.1950883207804741,v1-backfill,7.0,,,,,,,
2024-08-31,401628451,1,2024,Maryland,UConn,0.9388307490246132,0.830334375088829,v1-backfill,43.0,,,,,,,
2024-08-31,401628457,1,2024,West Virginia,Penn State,0.3504003392184109,0.4943225089364267,v1-backfill,-22.0,,,,,,,
2024-08-31,401634305,1,2024,Pittsburgh,Kent State,0.932233890942487,0.8194866534138082,v1-backfill,31.0,,,,,,,
2024-08-31,401628322,1,2024,Florida,Miami,0.5911704031351537,0.5670838444358467,v1-backfill,-24.0,,,,,,,
2024-08-31,401628331,1,2024,Texas,Colorado State,0.9749059561324356,0.9355996864318132,v1-backfill,52.0,,,,,,,
2024-08-31,401628449,1,2024,Indiana,Florida International,0.9173325590882364,0.7452650822845126,v1-backfill,24.0,,,,,,,
2024-08-31,401628454,1,2024,Nebraska,UTEP,0.8917084964884227,0.782462151685565,v1-backfill,33.0,,,,,,,
2024-08-31,401628455,1,2024,Ohio State,Akron,0.9878419093676224,0.9681801679133312,v1-backfill,46.0,,,,,,,
2024-08-31,401629039,1,2024,Massachusetts,Eastern Michigan,0.4442022888738609,0.3721001682788827,v1-backfill,-14.0,,,,,,,
2024-08-31,401634304,1,2024,Syracuse,Ohio,0.5782653576136659,0.3288857673650504,v1-backfill,16.0,,,,,,,
2024-08-31,401641015,1,2024,UTSA,Kennesaw State,0.9029007628857144,0.8719266579887318,v1-backfill,12.0,,,,,,,
2024-08-31,401644683,1,2024,Northwestern,Miami (OH),0.680598344589689,0.4040420591676771,v1-backfill,7.0,,,,,,,
2024-08-31,401643700,1,2024,Georgia Southern,Boise State,0.3000772372758502,0.3141668236323631,v1-backfill,-11.0,,,,,,,
2024-08-31,401628329,1,2024,South Carolina,Old Dominion,0.8555154142931625,0.7027800343030218,v1-backfill,4.0,,,,,,,
2024-08-31,401643775,1,2024,South Alabama,North Texas,0.8058586861567041,0.734316895371408,v1-backfill,-14.0,,,,,,,
2024-08-31,401628319,1,2024,Alabama,Western Kentucky,0.959922840675962,0.8922460572397367,v1-backfill,63.0,,,,,,,
2024-08-31,401636611,1,2024,Houston,UNLV,0.6652303574454861,0.4473718736579818,v1-backfill,-20.0,,,,,,,
2024-08-31,401641039,1,2024,Rice,Sam Houston,0.6581840896528682,0.6886052917347241,v1-backfill,-20.0,,,,,,,
2024-08-31,401643701,1,2024,Troy,Nevada,0.9424652699343364,0.9502150114331606,v1-backfill,-2.0,,,,,,,
2024-08-31,401628332,1,2024,Texas A&M,Notre Dame,0.30766053665302,0.3058010721929404,v1-backfill,-10.0,,,,,,,
2024-08-31,401628452,1,2024,Michigan,Fresno State,0.9677449492314713,0.9237591235406633,v1-backfill,20.0,,,,,,,
2024-08-31,401628459,1,2024,Hawai'i,UCLA,0.1235562223327665,0.2987186174875082,v1-backfill,-3.0,,,,,,,
2024-08-31,401628324,1,2024,Kentucky,Southern Miss,0.9341596292680572,0.8413573300471509,v1-backfill,31.0,,,,,,,
2024-09-01,401634302,1,2024,Georgia Tech,Georgia State,0.8616959101998793,0.6827451805825563,v1-backfill,23.0,,,,,,,
2024-09-01,401643774,1,2024,Charlotte,James Madison,0.0969572455214747,0.1067800698950562,v1-backfill,-23.0,,,,,,,
2024-09-01,401636608,1,2024,Arizona,New Mexico,0.9752862288689028,0.9469597187787204,v1-backfill,22.0,,,,,,,
2024-09-01,401636609,1,2024,Arizona State,Wyoming,0.5819126282595147,0.4160338981092879,v1-backfill,41.0,,,,,,,
2024-09-01,401628334,1,2024,LSU,USC,0.7621619567132971,0.6916495430166675,v1-backfill,-7.0,,,,,,,
2024-09-02,401634306,1,2024,Florida State,Boston College,0.8289576989343991,0.8695424758808368,v1-backfill,-15.0,,,,,,,
2024-09-06,401634765,2,2024,SMU,BYU,0.8045326908611455,0.7665314275573444,v1-backfill,-3.0,,,,,,,
2024-09-07,401635533,2,2024,Northwestern,Duke,0.4271582579813576,0.4548942594394856,v1-backfill,-6.0,,,,,,,
2024-09-07,401628336,2,2024,Oklahoma State,Arkansas,0.638346212358158,0.734821314789967,v1-backfill,8.0,,,,,,,
2024-09-07,401628347,2,2024,Michigan,Texas,0.666213151153899,0.766921167473516,v1-backfill,-19.0,,,,,,,
2024-09-07,401628470,2,2024,Penn State,Bowling Green,0.948763279940789,0.8296083010123556,v1-backfill,7.0,,,,,,,
2024-09-07,401628471,2,2024,Rutgers,Akron,0.95168522791819,0.8805993432992745,v1-backfill,32.0,,,,,,,
2024-09-07,401635534,2,2024,Syracuse,Georgia Tech,0.3816324466119159,0.3584498436605811,v1-backfill,3.0,,,,,,,
2024-09-07,401635538,2,2024,Cincinnati,Pittsburgh,0.5122513408982695,0.575959120314094,v1-backfill,-1.0,,,,,,,
2024-09-07,401636616,2,2024,Tulane,Kansas State,0.2290195767563533,0.4084404497681042,v1-backfill,-7.0,,,,,,,
2024-09-07,401643784,2,2024,Memphis,Troy,0.5805171107952977,0.5256536557737757,v1-backfill,21.0,,,,,,,
2024-09-07,401645323,2,2024,Florida Atlantic,Army,0.3619568124896632,0.282297440086675,v1-backfill,-17.0,,,,,,,
2024-09-07,401628337,2,2024,Auburn,California,0.7478301609742215,0.5386953313466379,v1-backfill,-7.0,,,,,,,
2024-09-07,401628340,2,2024,Kentucky,South Carolina,0.6798140494140508,0.6513047134886355,v1-backfill,-25.0,,,,,,,
2024-09-07,401628464,2,2024,Iowa,Iowa State,0.5852030006198395,0.5838268400626621,v1-backfill,-1.0,,,,,,,
2024-09-07,401628465,2,2024,Maryland,Michigan State,0.851836021067685,0.7587421239273953,v1-backfill,-3.0,,,,,,,
2024-09-07,401628473,2,2024,Washington,Eastern Michigan,0.9698070036143056,0.928754803440242,v1-backfill,21.0,,,,,,,
2024-09-07,401628977,2,2024,Notre Dame,Northern Illinois,0.9545235915547912,0.863264989625035,v1-backfill,-2.0,,,,,,,
2024-09-07,401629040,2,2024,Toledo,Massachusetts,0.9260538420438288,0.926195831362566,v1-backfill,15.0,,,,,,,
2024-09-07,401635535,2,2024,Louisville,Jacksonville State,0.9227959468629064,0.766761618973628,v1-backfill,35.0,,,,,,,
2024-09-07,401635537,2,2024,North Carolina,Charlotte,0.9496222506947064,0.8953767731442225,v1-backfill,18.0,,,,,,,
2024-09-07,401636618,2,2024,Utah,Baylor,0.7650633324759302,0.7484209352490364,v1-backfill,11.0,,,,,,,
2024-09-07,401645324,2,2024,Navy,Temple,0.8505554106391103,0.7951326472893792,v1-backfill,27.0,,,,,,,
2024-09-07,401643783,2,2024,Texas State,UTSA,0.4025729399400675,0.4066195906275511,v1-backfill,39.0,,,,,,,
2024-09-07,401628342,2,2024,Ole Miss,Middle Tennessee,0.9724032025896052,0.8992749887106708,v1-backfill,49.0,,,,,,,
2024-09-07,401635540,2,2024,Virginia Tech,Marshall,0.8405557868435257,0.6549099907647937,v1-backfill,17.0,,,,,,,
2024-09-07,401640979,2,2024,Florida International,Central Michigan,0.1754311555510125,0.2324656998744486,v1-backfill,36.0,,,,,,,
2024-09-07,401643778,2,2024,Old Dominion,East Carolina,0.5574572197469062,0.5623580586966666,v1-backfill,-6.0,,,,,,,
2024-09-07,401643781,2,2024,Ohio,South Alabama,0.4699145538066836,0.5793625168228825,v1-backfill,7.0,,,,,,,
2024-09-07,401636617,2,2024,UCF,Sam Houston,0.915548608204748,0.7676070951068487,v1-backfill,31.0,,,,,,,
2024-09-07,401628335,2,2024,Alabama,South Florida,0.9703347941317464,0.9051563571115568,v1-backfill,26.0,,,,,,,
2024-09-07,401628344,2,2024,Missouri,Buffalo,0.9696590423497176,0.9217076045349204,v1-backfill,38.0,,,,,,,
2024-09-07,401628462,2,2024,Illinois,Kansas,0.4227733641932467,0.3352386957044617,v1-backfill,6.0,,,,,,,
2024-09-07,401635639,2,2024,Wake Forest,Virginia,0.63620292103336,0.6327656512909239,v1-backfill,-1.0,,,,,,,
2024-09-07,401641016,2,2024,Kennesaw State,Louisiana,0.2886356789793967,0.3373002433656595,v1-backfill,-24.0,,,,,,,
2024-09-07,401643705,2,2024,Air Force,San José State,0.5411628421072001,0.5393290399164361,v1-backfill,-10.0,,,,,,,
2024-09-07,401643708,2,2024,Nevada,Georgia Southern,0.4073008038135449,0.3673393293826684,v1-backfill,-3.0,,,,,,,
2024-09-07,401643779,2,2024,Arkansas State,Tulsa,0.6308863392259946,0.68033746160773,v1-backfill,4.0,,,,,,,
2024-09-07,401643780,2,2024,UL Monroe,UAB,0.2972710695909772,0.3849200045874954,v1-backfill,26.0,,,,,,,
2024-09-07,401628346,2,2024,NC State,Tennessee,0.3058705852896501,0.4576619649983531,v1-backfill,-41.0,,,,,,,
2024-09-07,401628467,2,2024,Nebraska,Colorado,0.7753955935775527,0.7168585235933479,v1-backfill,18.0,,,,,,,
2024-09-07,401628468,2,2024,Ohio State,Western Michigan,0.9808823775688345,0.9366695656294328,v1-backfill,56.0,,,,,,,
2024-09-07,401628345,2,2024,Oklahoma,Houston,0.9306754291397288,0.8994104485323164,v1-backfill,4.0,,,,,,,
2024-09-08,401635532,2,2024,Clemson,App State,0.8149831494171569,0.6294824714458369,v1-backfill,46.0,,,,,,,
2024-09-08,401628469,2,2024,Oregon,Boise State,0.891518039265678,0.787663988027139,v1-backfill,3.0,,,,,,,
2024-09-08,401636859,2,2024,Washington State,Texas Tech,0.6303891367446943,0.3820552944657588,v1-backfill,21.0,,,,,,,
2024-09-08,401640989,2,2024,New Mexico State,Liberty,0.3838582119936317,0.3825741731083992,v1-backfill,-6.0,,,,,,,
2024-09-08,401628343,2,2024,Arizona State,Mississippi State,0.4999434472236199,0.5539821212022374,v1-backfill,7.0,,,,,,,
2024-09-08,401643709,2,2024,San Diego State,Oregon State,0.2370581420819206,0.3009771976197256,v1-backfill,-21.0,,,,,,,
2024-09-08,401628472,2,2024,USC,Utah State,0.9115444111295016,0.8011342348864122,v1-backfill,48.0,,,,,,,
2024-09-12,401636867,3,2024,Texas State,Arizona State,0.4659995017078093,0.6794185267788923,v1-backfill,-3.0,,,,,,,
2024-09-13,401636863,3,2024,Kansas,UNLV,0.7389431277860042,0.568275629563046,v1-backfill,-3.0,,,,,,,
2024-09-14,401636864,3,2024,Kansas State,Arizona,0.6872424490295248,0.6082903320704989,v1-backfill,24.0,,,,,,,
2024-09-14,401628350,3,2024,Wisconsin,Alabama,0.1780052509237077,0.2207876158293556,v1-backfill,-32.0,,,,,,,
2024-09-14,401628359,3,2024,South Carolina,LSU,0.4160766759004584,0.4848185257808157,v1-backfill,-3.0,,,,,,,
2024-09-14,401628475,3,2024,Illinois,Central Michigan,0.9259710489205952,0.819929206062803,v1-backfill,21.0,,,,,,,
2024-09-14,401628479,3,2024,Michigan,Arkansas State,0.9721328354170488,0.9249400792677448,v1-backfill,10.0,,,,,,,
2024-09-14,401635542,3,2024,Florida State,Memphis,0.6703426673481908,0.49442123838738,v1-backfill,-8.0,,,,,,,
2024-09-14,401635546,3,2024,NC State,Louisiana Tech,0.9398483181725628,0.8831683164570542,v1-backfill,10.0,,,,,,,
2024-09-14,401636865,3,2024,Miami (OH),Cincinnati,0.471330128937544,0.7135071632002786,v1-backfill,-11.0,,,,,,,
2024-09-14,401636868,3,2024,Texas Tech,North Texas,0.7667431988137138,0.5906813286673609,v1-backfill,45.0,,,,,,,
2024-09-14,401636869,3,2024,Tulsa,Oklahoma State,0.1225863415443131,0.1828521078208832,v1-backfill,-35.0,,,,,,,
2024-09-14,401628357,3,2024,Missouri,Boston College,0.842323827207122,0.8328005162464996,v1-backfill,6.0,,,,,,,
2024-09-14,401629041,3,2024,Buffalo,Massachusetts,0.7387195243059961,0.7767801370321482,v1-backfill,31.0,,,,,,,
2024-09-14,401643786,3,2024,Temple,Coastal Carolina,0.1218556182871734,0.1143006190337878,v1-backfill,-8.0,,,,,,,
2024-09-14,401628353,3,2024,Florida,Texas A&M,0.4039729958934266,0.4695083213149441,v1-backfill,-13.0,,,,,,,
2024-09-14,401628358,3,2024,Oklahoma,Tulane,0.8393345059791504,0.6965447837008549,v1-backfill,15.0,,,,,,,
2024-09-14,401628481,3,2024,Minnesota,Nevada,0.941043691776214,0.8746279776863064,v1-backfill,27.0,,,,,,,
2024-09-14,401628483,3,2024,Oregon State,Oregon,0.3570536445574705,0.3458170576520701,v1-backfill,-35.0,,,,,,,
2024-09-14,401628484,3,2024,Washington,Washington State,0.6809171763314454,0.823944108843595,v1-backfill,-5.0,,,,,,,
2024-09-14,401628978,3,2024,Purdue,Notre Dame,0.2885990691118232,0.2625207127630445,v1-backfill,-59.0,,,,,,,
2024-09-14,401635544,3,2024,Miami,Ball State,0.9210047319006612,0.7865376670460916,v1-backfill,62.0,,,,,,,
2024-09-14,401635547,3,2024,Pittsburgh,West Virginia,0.4348131953729563,0.3802892330715285,v1-backfill,4.0,,,,,,,
2024-09-14,401628477,3,2024,Iowa,Troy,0.7897935839412156,0.5775093177395832,v1-backfill,17.0,,,,,,,
2024-09-14,401643785,3,2024,East Carolina,App State,0.5072005375912992,0.3779889877766093,v1-backfill,-2.0,,,,,,,
2024-09-14,401628351,3,2024,Arkansas,UAB,0.905251767965462,0.7309161618796259,v1-backfill,10.0,,,,,,,
2024-09-14,401636870,3,2024,Utah State,Utah,0.0939986867463031,0.2898503670852349,v1-backfill,-17.0,,,,,,,
2024-09-14,401629030,3,2024,Duke,UConn,0.9148993423237962,0.8565231242348531,v1-backfill,5.0,,,,,,,
2024-09-14,401635548,3,2024,Old Dominion,Virginia Tech,0.1709423306129787,0.2553302339288795,v1-backfill,-20.0,,,,,,,
2024-09-14,401640980,3,2024,Florida Atlantic,Florida International,0.6750672956623875,0.5853815322253223,v1-backfill,18.0,,,,,,,
2024-09-14,401640990,3,2024,Liberty,UTEP,0.905963958316552,0.9507567944678064,v1-backfill,18.0,,,,,,,
2024-09-14,401628355,3,2024,Wake Forest,Ole Miss,0.1398024548624583,0.1763081993510493,v1-backfill,-34.0,,,,,,,
2024-09-14,401628361,3,2024,Texas,UTSA,0.9670080275027452,0.8834461738545193,v1-backfill,49.0,,,,,,,
2024-09-14,401628362,3,2024,Georgia State,Vanderbilt,0.3107225856918882,0.624901400630474,v1-backfill,4.0,,,,,,,
2024-09-14,401640999,3,2024,Eastern Michigan,Jacksonville State,0.4694012315795351,0.5450751157032812,v1-backfill,3.0,,,,,,,
2024-09-14,401641017,3,2024,San José State,Kennesaw State,0.9127000966857176,0.9053149360266411,v1-backfill,21.0,,,,,,,
2024-09-14,401641024,3,2024,Middle Tennessee,Western Kentucky,0.4350958991397858,0.3951247712580129,v1-backfill,-28.0,,,,,,,
2024-09-14,401641040,3,2024,Sam Houston,Hawai'i,0.6548819812732758,0.5486300700231891,v1-backfill,18.0,,,,,,,
2024-09-14,401643789,3,2024,Southern Miss,South Florida,0.387939095047615,0.4210036188333537,v1-backfill,-25.0,,,,,,,
2024-09-14,401628352,3,2024,Auburn,New Mexico,0.9448989870616664,0.8246749689906419,v1-backfill,26.0,,,,,,,
2024-09-14,401628354,3,2024,Kentucky,Georgia,0.1183637970123664,0.1156382472713732,v1-backfill,-1.0,,,,,,,
2024-09-14,401628356,3,2024,Mississippi State,Toledo,0.6985383773427268,0.3654751321414853,v1-backfill,-24.0,,,,,,,
2024-09-14,401628476,3,2024,UCLA,Indiana,0.5578938128324972,0.7521942857683451,v1-backfill,-29.0,,,,,,,
2024-09-14,401636860,3,2024,Baylor,Air Force,0.7017321020889968,0.4133633833018512,v1-backfill,28.0,,,,,,,
2024-09-14,401636861,3,2024,Colorado State,Colorado,0.4047888201364124,0.6571099896144974,v1-backfill,-19.0,,,,,,,
2024-09-14,401636866,3,2024,TCU,UCF,0.5082391950313332,0.5781535814007241,v1-backfill,-1.0,,,,,,,
2024-09-14,401628360,3,2024,Tennessee,Kent State,0.9933173694677616,0.9753323369723236,v1-backfill,71.0,,,,,,,
2024-09-15,401628478,3,2024,Virginia,Maryland,0.3260837370738831,0.3373398957316036,v1-backfill,-14.0,,,,,,,
2024-09-15,401636862,3,2024,Houston,Rice,0.683755945428723,0.5054558333177703,v1-backfill,26.0,,,,,,,
2024-09-15,401636871,3,2024,Wyoming,BYU,0.2317204999560667,0.3593427405958249,v1-backfill,-20.0,,,,,,,
2024-09-15,401635541,3,2024,California,San Diego State,0.8389816050040152,0.7821426377926751,v1-backfill,21.0,,,,,,,
2024-09-15,401641033,3,2024,Fresno State,New Mexico State,0.7189498780962061,0.6491727242245695,v1-backfill,48.0,,,,,,,
2024-09-19,401643790,4,2024,App State,South Alabama,0.4097844587916394,0.7086521839940162,v1-backfill,-34.0,,,,,,,
2024-09-20,401634766,4,2024,Syracuse,Stanford,0.7037198945972327,0.7206992997460969,v1-backfill,-2.0,,,,,,,
2024-09-21,401628485,4,2024,Nebraska,Illinois,0.5672273257405988,0.5573380816585456,v1-backfill,-7.0,,,,,,,
2024-09-21,401643714,4,2024,Washington State,San José State,0.7866985156417983,0.4926558179752508,v1-backfill,2.0,,,,,,,
2024-09-21,401628367,4,2024,Mississippi State,Florida,0.5008485909748567,0.5316168883487905,v1-backfill,-17.0,,,,,,,
2024-09-21,401628486,4,2024,Indiana,Charlotte,0.964067072045472,0.8778065515811346,v1-backfill,38.0,,,,,,,
2024-09-21,401628492,4,2024,Ohio State,Marshall,0.9724757971168626,0.8919393733033061,v1-backfill,35.0,,,,,,,
2024-09-21,401635552,4,2024,Clemson,NC State,0.8100917688373317,0.7214162542805906,v1-backfill,24.0,,,,,,,
2024-09-21,401635556,4,2024,North Carolina,James Madison,0.6832677234554826,0.4480308975597256,v1-backfill,-20.0,,,,,,,
2024-09-21,401636873,4,2024,Cincinnati,Houston,0.6537623162659358,0.7047818927073564,v1-backfill,34.0,,,,,,,
2024-09-21,401636879,4,2024,West Virginia,Kansas,0.5505881422638159,0.5541108337701348,v1-backfill,4.0,,,,,,,
2024-09-21,401643791,4,2024,Louisiana,Tulane,0.5102735383118272,0.5211740528581373,v1-backfill,-8.0,,,,,,,
2024-09-21,401645328,4,2024,Army,Rice,0.791440147636656,0.8437992290974141,v1-backfill,23.0,,,,,,,
2024-09-21,401628364,4,2024,Kentucky,Ohio,0.8250020249908028,0.5278924072554458,v1-backfill,35.0,,,,,,,
2024-09-21,401644735,4,2024,Central Michigan,Ball State,0.5507803680939688,0.4310998063704048,v1-backfill,3.0,,,,,,,
2024-09-21,401635558,4,2024,Coastal Carolina,Virginia,0.6100697400210952,0.8509511605796927,v1-backfill,-19.0,,,,,,,
2024-09-21,401636875,4,2024,Iowa State,Arkansas State,0.8984936587433918,0.7585711906102566,v1-backfill,45.0,,,,,,,
2024-09-21,401643715,4,2024,Temple,Utah State,0.4067374740490704,0.3578441920884611,v1-backfill,16.0,,,,,,,
2024-09-21,401641000,4,2024,Jacksonville State,Southern Miss,0.7122590465072701,0.6527265483515314,v1-backfill,37.0,,,,,,,
2024-09-21,401628363,4,2024,Auburn,Arkansas,0.6291017518869542,0.5571483102669814,v1-backfill,-10.0,,,,,,,
2024-09-21,401628365,4,2024,LSU,UCLA,0.8427746040598876,0.799606331138182,v1-backfill,17.0,,,,,,,
2024-09-21,401628489,4,2024,Michigan,USC,0.7577417734021457,0.8177833447014914,v1-backfill,3.0,,,,,,,
2024-09-21,401628493,4,2024,Penn State,Kent State,0.9936028390570676,0.9757040400232032,v1-backfill,56.0,,,,,,,
2024-09-21,401628494,4,2024,Virginia Tech,Rutgers,0.6573174209387634,0.6885431195914571,v1-backfill,-3.0,,,,,,,
2024-09-21,401628979,4,2024,Notre Dame,Miami (OH),0.9652466855119368,0.8624636604552828,v1-backfill,25.0,,,,,,,
2024-09-21,401635554,4,2024,Louisville,Georgia Tech,0.735741227061751,0.6125865159326944,v1-backfill,12.0,,,,,,,
2024-09-21,401636877,4,2024,Texas Tech,Arizona State,0.6675633203986424,0.6211770899563286,v1-backfill,8.0,,,,,,,
2024-09-21,401644736,4,2024,Northern Illinois,Buffalo,0.7797529550980262,0.7329092694729806,v1-backfill,-3.0,,,,,,,
2024-09-21,401645329,4,2024,Navy,Memphis,0.3355931633572588,0.2408409101697203,v1-backfill,12.0,,,,,,,
2024-09-21,401635553,4,2024,Middle Tennessee,Duke,0.0988746638187298,0.1737336405068777,v1-backfill,-28.0,,,,,,,
