date,league,game_id,athlete_id,player,matchup,proj,sd,median,l10,grade_line,p_grade,gap,model,actual,line_lo,p_lo,boarded
2025-11-09,NBA,401810049,2581018.0,Kentavious Caldwell-Pope,MEM vs OKC,14.27,6.85,14.0,15.3,16.5,0.3683,1.03,v1-backfill,16.0,,,
2025-11-09,NBA,401810048,3078576.0,Derrick White,BOS vs ORL,22.82,7.89,22.0,23.0,24.5,0.4122,0.18,v1-backfill,28.0,,,
2025-11-09,NBA,401810049,3146557.0,Jock Landale,MEM vs OKC,17.12,7.2,17.0,17.7,19.5,0.3661,0.58,v1-backfill,18.0,,,
2025-11-09,NBA,401810048,3917376.0,Jaylen Brown,BOS vs ORL,37.09,9.74,37.0,37.2,39.5,0.3985,0.11,v1-backfill,33.0,,,
2025-11-09,NBA,401810048,4066354.0,Payton Pritchard,BOS vs ORL,25.15,8.07,25.0,25.4,27.5,0.3817,0.25,v1-backfill,15.0,,,
2025-11-09,NBA,401810049,4222252.0,Isaiah Hartenstein,OKC vs MEM,28.56,8.96,28.0,28.0,30.5,0.4108,0.56,v1-backfill,33.0,,,
2025-11-09,NBA,401810049,4277961.0,Jaren Jackson Jr.,MEM vs OKC,22.28,7.68,22.0,23.5,24.5,0.3823,1.22,v1-backfill,26.0,,,
2025-11-09,NBA,401810049,4278073.0,Shai Gilgeous-Alexander,OKC vs MEM,43.2,10.37,43.0,44.0,45.5,0.4088,0.8,v1-backfill,48.0,,,
2025-11-09,NBA,401810051,4433247.0,Jonathan Kuminga,GS vs IND,26.85,8.61,26.0,26.3,28.5,0.4209,0.55,v1-backfill,15.0,,,
2025-11-09,NBA,401810049,4593125.0,Santi Aldama,MEM vs OKC,18.49,7.25,18.0,20.5,20.5,0.3868,2.01,v1-backfill,25.0,,,
2025-11-09,NBA,401810051,4709138.0,Brandin Podziemski,GS vs IND,20.87,7.81,20.0,20.1,22.5,0.4139,0.77,v1-backfill,21.0,,,
2025-11-09,NBA,401810049,4903027.0,Cedric Coward,MEM vs OKC,21.85,7.88,21.0,23.6,23.5,0.4139,1.75,v1-backfill,27.0,,,
2025-11-09,NBA,401810049,5112087.0,Jaylen Wells,MEM vs OKC,13.53,6.74,13.0,14.5,15.5,0.381,0.97,v1-backfill,15.0,,,
2025-11-10,NBA,401810059,2583632.0,Royce O'Neale,PHX vs NO,19.27,7.57,19.0,21.6,21.5,0.3804,2.33,v1-backfill,21.0,,,
2025-11-10,NBA,401810060,3032976.0,Rudy Gobert,MIN vs UTAH,22.64,8.13,22.0,22.0,24.5,0.4061,0.64,v1-backfill,27.0,,,
2025-11-10,NBA,401810056,3059319.0,Andrew Wiggins,MIA vs CLE,25.36,8.09,25.0,24.2,27.5,0.392,1.16,v1-backfill,30.0,,,
2025-11-10,NBA,401810060,3064514.0,Julius Randle,MIN vs UTAH,37.94,9.36,37.0,38.4,39.5,0.4309,0.46,v1-backfill,42.0,,,
2025-11-10,NBA,401810058,3133628.0,Myles Turner,MIL vs DAL,20.01,7.61,19.0,20.0,21.5,0.4192,0.01,v1-backfill,23.0,,,
2025-11-10,NBA,401810059,3135045.0,Grayson Allen,PHX vs NO,22.73,7.72,22.0,24.2,24.5,0.4058,1.47,v1-backfill,48.0,,,
2025-11-10,NBA,401810059,3136193.0,Devin Booker,PHX vs NO,39.51,9.68,39.0,41.2,41.5,0.4153,1.69,v1-backfill,22.0,,,
2025-11-10,NBA,401810054,3157465.0,Duncan Robinson,DET vs WSH,21.27,7.81,21.0,15.5,23.5,0.3835,5.77,v1-backfill,18.0,,,
2025-11-10,NBA,401810060,3934673.0,Donte DiVincenzo,MIN vs UTAH,22.02,8.01,21.0,21.4,23.5,0.4237,0.62,v1-backfill,17.0,,,
2025-11-10,NBA,401810055,4066320.0,Desmond Bane,ORL vs POR,23.96,8.15,23.0,22.5,25.5,0.4219,1.46,v1-backfill,32.0,,,
2025-11-10,NBA,401810053,4066648.0,Rui Hachimura,LAL vs CHA,17.79,7.43,17.0,20.9,19.5,0.4057,3.11,v1-backfill,26.0,,,
2025-11-10,NBA,401810058,4277843.0,Gary Trent Jr.,MIL vs DAL,15.52,7.11,15.0,15.8,17.5,0.3862,0.28,v1-backfill,6.0,,,
2025-11-10,NBA,401810055,4277847.0,Wendell Carter Jr.,ORL vs POR,22.74,7.81,22.0,20.8,24.5,0.4076,1.94,v1-backfill,33.0,,,
2025-11-10,NBA,401810056,4278053.0,Davion Mitchell,MIA vs CLE,20.94,7.72,20.0,19.6,22.5,0.4168,1.34,v1-backfill,21.0,,,
2025-11-10,NBA,401810058,4278078.0,P.J. Washington,DAL vs MIL,27.03,8.46,26.0,26.5,28.5,0.4281,0.53,v1-backfill,24.0,,,
2025-11-10,NBA,401810058,4278594.0,Naji Marshall,DAL vs MIL,17.68,7.77,17.0,16.9,19.5,0.4041,0.78,v1-backfill,17.0,,,
2025-11-10,NBA,401810058,4397475.0,AJ Green,MIL vs DAL,14.85,6.97,14.0,14.8,16.5,0.4028,0.05,v1-backfill,20.0,,,
2025-11-10,NBA,401810060,4431671.0,Jaden McDaniels,MIN vs UTAH,25.4,8.29,25.0,25.2,27.5,0.3965,0.2,v1-backfill,25.0,,,
2025-11-10,NBA,401810061,4431680.0,Onyeka Okongwu,ATL vs LAC,24.51,7.93,24.0,23.9,26.5,0.3974,0.61,v1-backfill,19.0,,,
2025-11-10,NBA,401810056,4432158.0,Evan Mobley,CLE vs MIA,32.25,8.72,32.0,32.7,34.5,0.3947,0.45,v1-backfill,36.0,,,
