date,game_id,season,home,away,p_home,p_home_binary,p_elo,model,result
2024-10-04,2024020001,2024,BUF,NJD,0.6018333047822508,0.6107749420490316,0.5589514483360503,v2-decomp-backfill,0.0
2024-10-05,2024020002,2024,NJD,BUF,0.5382849663809343,0.5280488346776586,0.5541680940644561,v2-decomp-backfill,1.0
2024-10-08,2024020003,2024,SEA,STL,0.5628669259135126,0.5543728715392227,0.522191712347152,v2-decomp-backfill,0.0
2024-10-08,2024020004,2024,FLA,BOS,0.7069675626095335,0.7306992432349929,0.5861047374901268,v2-decomp-backfill,1.0
2024-10-08,2024020005,2024,UTA,CHI,0.6491937118484582,0.6675585441050895,0.6099955740445447,v2-decomp-backfill,1.0
2024-10-09,2024020006,2024,MTL,TOR,0.3328978258524821,0.3335636416946752,0.4488140902676453,v2-decomp-backfill,1.0
2024-10-09,2024020007,2024,PIT,NYR,0.4747117469196748,0.4711951017878513,0.4676603900313551,v2-decomp-backfill,0.0
2024-10-09,2024020008,2024,EDM,WPG,0.6566728642526148,0.6687831166126699,0.578128582260577,v2-decomp-backfill,0.0
2024-10-09,2024020009,2024,VAN,CGY,0.580054082143118,0.5826196140745857,0.6031947301225121,v2-decomp-backfill,0.0
2024-10-09,2024020010,2024,VGK,COL,0.5071823648243086,0.4956186726947058,0.5228150279940065,v2-decomp-backfill,1.0
2024-10-10,2024020011,2024,BOS,MTL,0.7268141787790061,0.7440419071048064,0.6520102437175986,v2-decomp-backfill,1.0
2024-10-10,2024020012,2024,BUF,LAK,0.5263055078013824,0.5492307018672467,0.5250797470932237,v2-decomp-backfill,0.0
2024-10-10,2024020013,2024,OTT,FLA,0.4505018603713443,0.4468706531169225,0.4338735040608725,v2-decomp-backfill,1.0
2024-10-10,2024020014,2024,DET,PIT,0.5851661675262982,0.5961608521580326,0.5479997038992798,v2-decomp-backfill,0.0
2024-10-10,2024020015,2024,NJD,TOR,0.5057399230406571,0.5245298574019529,0.5187423172894765,v2-decomp-backfill,0.0
